modality,vocal_channel,emotion,emotional_intensity,statement,repetition,actor,sex,channels,sample_width,frame_rate,frame_width,length_ms,frame_count,intensity,zero_crossings_sum,mfcc_mean,mfcc_std,mfcc_min,mfcc_max,sc_mean,sc_std,sc_min,sc_max,sc_kur,sc_skew,stft_mean,stft_std,stft_min,stft_max,stft_kur,stft_skew,mean,std,min,max,kur,skew
audio-only,song,sad,normal,Kids are talking by the door,2nd,,F,1,2,48000,2,5038,241842.0,-43.82334959324051,15485,-38.21092,151.0448,-863.7997,168.89973,4324.662405147487,3413.39887329926,0.0,12008.679047267662,-0.6991669453964575,0.8373244780722867,0.3479213,0.36205778,0.0,1.0,-1.186016488329691,0.581274996872754,-4.5667466e-07,0.0064631146,-0.0413208,0.03186035,4.373104755682544,-0.3714282100390984
audio-only,song,sad,normal,Kids are talking by the door,2nd,12,F,1,2,48000,2,4872,233833.0,-35.54925217252573,15125,-32.44183,133.17375,-747.3212,177.5268,4952.768904381686,3517.024753493071,0.0,12105.85307757708,-1.171222364133283,0.5531524301455357,0.40892887,0.35375398,0.0,1.0,-1.3451946598929834,0.327210655375488,1.3440326e-05,0.016713345,-0.1027832,0.1312561,6.26707025867489,-0.1352857461931846
audio-only,speech,calm,strong,Kids are talking by the door,1st,12,F,1,2,48000,2,3971,190590.0,-47.83196587985263,10575,-33.729385,160.28496,-868.4098,207.53506,5617.712015502282,3838.7207830790535,0.0,12312.648804171176,-1.4052196539644823,0.2116707069580359,0.49846986,0.33863714,0.0,1.0,-1.367953807014107,-0.053819888195404,-6.358429e-07,0.0040590614,-0.030426025,0.02142334,8.673428551502584,-1.0765016533341567
audio-only,speech,fearful,strong,Kids are talking by the door,2nd,,F,1,2,48000,2,3737,179379.0,-22.367587700006183,21222,-23.537529,97.46727,-550.5658,182.44167,5423.21635574468,2602.9681716691134,1237.7200244119367,11106.552837344958,-0.9995743036916158,0.2954992324571319,0.40808603,0.32266322,5.497489e-05,1.0,-1.0531480988219806,0.4298933183577387,3.901059e-07,0.076158315,-0.64416504,0.63974,14.498168878574637,0.418744270645805
audio-only,speech,angry,strong,Kids are talking by the door,1st,02,F,1,2,48000,2,3904,187388.0,-27.461209376817635,14749,-25.791014,111.2614,-612.66284,193.28554,4505.596136582808,3298.326953988611,0.0,11998.638817404071,-1.1618875514126217,0.2699311113353664,0.40584812,0.34632233,0.0,1.0,-1.308235265226288,0.3202358174715488,1.1024815e-05,0.04238877,-0.3635559,0.47735596,15.80259506807746,0.4619399375330496
audio-only,speech,surprised,strong,Dogs are sitting by the door,1st,14,F,1,2,48000,2,3704,177778.0,-41.58574575837924,16867,-33.07317,141.03581,-771.03906,190.33499,5568.05768557888,4049.039721521475,0.0,12000.000033527613,-1.490528806033366,0.0212503617138593,0.4028804,0.348614,0.0,1.0,-1.3122491019512208,0.327833477375521,5.364411e-07,0.008339229,-0.057769775,0.06085205,7.323569796615112,0.1070962590071303
audio-only,song,happy,normal,Kids are talking by the door,2nd,,F,1,2,48000,2,5339,256256.0,-31.761591438413884,14713,-31.906656,124.49752,-701.65155,180.64352,5122.839254551184,3682.708855726052,1211.5545221979264,12074.04500595355,-1.4248599094213252,0.5190822675083081,0.4265559,0.3552558,0.00018801924,1.0,-1.442767703859403,0.2514181060384908,1.6353466e-06,0.025828224,-0.1897583,0.2331543,7.685086286820896,0.5654598172746871
audio-only,song,happy,normal,Kids are talking by the door,2nd,16,F,1,2,48000,2,4705,225825.0,-37.016159188071846,15175,-32.483852,137.0792,-753.7446,175.98383,4536.722244330041,3286.971544551412,0.0,12089.753937503076,-1.0789519277481114,0.4637532226152701,0.35343653,0.3548418,0.0,1.0,-1.1741641102821891,0.5663008521952607,2.0511272e-06,0.014119305,-0.07962036,0.09628296,5.064567984405604,0.1436744834251545
audio-only,speech,fearful,strong,Kids are talking by the door,2nd,,F,1,2,48000,2,3637,174575.0,-30.413859807441792,16499,-29.584751,118.09067,-654.24774,151.31192,5490.983909880802,3258.7467400345035,0.0,12092.105944820814,-0.8152197686440927,0.3142780290868078,0.40407678,0.3451745,0.0,1.0,-1.2739146947423372,0.3733510678442218,3.101142e-07,0.030172953,-0.2996521,0.2875061,16.604987642999504,0.2327157398491788
audio-only,speech,angry,strong,Kids are talking by the door,1st,16,F,1,2,48000,2,3971,190591.0,,13547,-24.958572,109.89788,-603.2796,197.1713,4645.976943774447,3344.549022884965,0.0,11619.561935785598,-1.2772332028149345,0.19148545439631,0.38923177,0.344259,0.0,1.0,-1.2386574667888024,0.4171345883227061,1.0444998e-05,0.04564144,-0.5161743,0.49108887,17.492216846576614,0.4344819998928271
audio-only,speech,angry,normal,Kids are talking by the door,1st,22,F,1,2,48000,2,3704,177778.0,-40.680146129148255,13467,-30.407497,138.6962,-740.3548,207.4743,6314.915198700293,3603.5088100231583,1019.3607004869492,12099.956963819704,-1.456303955714809,0.1183935223636127,0.50066113,0.32657287,0.0027860964,1.0,-1.3634746013984416,0.0116697854036748,2.3002595e-08,0.009254757,-0.103637695,0.102264404,22.129248017280045,-0.1471956480367714
audio-only,song,happy,strong,Kids are talking by the door,2nd,22,F,1,2,48000,2,4838,232232.0,,15729,-30.17725,111.31816,-663.791,152.26486,5484.97299468599,3124.272823627629,1039.8169482174708,12025.887929761351,-1.1531548064236956,0.5808454552207408,0.4166056,0.34582767,8.868281e-05,1.0,-1.322727860039905,0.2766810983518439,-1.7188411e-07,0.044429272,-0.2350769,0.23468018,3.712162429361473,-0.0406339284928173
audio-only,speech,surprised,normal,Dogs are sitting by the door,1st,20,F,1,2,48000,2,3136,150551.0,-46.67212694029891,9267,-37.00441,162.49753,-869.93616,216.46515,4478.172162938817,3902.0900854217352,0.0,12000.000022351742,-1.4046985559105247,0.2897725331790862,0.3777252,0.35414216,0.0,1.0,-1.3361588399381392,0.3730861751398354,-3.1358604e-07,0.0046624024,-0.05908203,0.05041504,19.85653745250599,-0.1166435513706422
audio-only,speech,fearful,normal,Kids are talking by the door,2nd,,F,1,2,48000,2,3604,172973.0,,12906,-30.775442,136.44073,-754.3952,173.71191,5951.027152075118,3226.5862803708137,1097.1606950342916,12125.14697621634,-1.330907169811527,0.1659363146771832,0.50303555,0.3213923,0.00043088017,1.0,-1.2705276572963091,-0.0081219279687894,-8.6803425e-08,0.012218649,-0.10888672,0.12783813,15.818257460725452,0.0939613595916922
audio-only,speech,surprised,normal,Dogs are sitting by the door,1st,08,F,1,2,48000,2,3770,180981.0,,11446,-27.493233,140.2197,-747.36664,221.78668,5569.832934758283,2779.064760925361,852.4390000070898,11056.431044286344,-1.2189575986553198,-0.0003593627572449,0.51421916,0.34222072,0.0002304853,1.0,-1.4538150502706049,-0.0252240325188149,2.400468e-05,0.011592888,-0.092926025,0.08453369,8.942517357183597,-0.337802936514783
audio-only,speech,surprised,strong,Kids are talking by the door,1st,08,F,1,2,48000,2,3837,184184.0,-38.8748220630206,11703,-26.574883,135.42455,-754.2426,228.7791,5117.460333513369,2542.292187795952,954.6192419290384,13315.14295395717,-0.7642692230658032,0.2710722720931574,0.5135691,0.32744738,0.0002634257,1.0,-1.3475572362614008,0.0235082109979407,-6.424409e-05,0.011397358,-0.0748291,0.08181763,9.040513313433662,0.2788394182267388
audio-only,speech,fearful,strong,Dogs are sitting by the door,2nd,,F,1,2,48000,2,3604,172973.0,-29.87694437862951,14759,-30.456871,114.76417,-647.6078,159.26031,6033.5717439474565,3259.001829652403,1427.9184491423998,11958.43861925553,-1.3904773001714528,0.308180691250922,0.48443952,0.33766472,0.0003784581,1.0,-1.3800247767061855,0.0436820877885298,3.2304283e-07,0.032085568,-0.31176758,0.36520386,15.376202149367476,0.1592148358866177
audio-only,speech,surprised,strong,Kids are talking by the door,1st,,F,1,2,48000,2,3737,179379.0,,14461,-29.109476,122.54056,-706.82574,178.24274,4490.393266849067,3124.503541690516,0.0,12000.00009010546,-0.7050633991654629,0.3622516718338782,0.3740211,0.33322242,0.0,1.0,-1.024976827368381,0.5200144482886109,2.7271685e-07,0.02143384,-0.18347168,0.2076416,12.843710491169194,0.5447317463468051
audio-only,song,happy,normal,Dogs are sitting by the door,2nd,22,F,1,2,48000,2,4771,229029.0,,17297,-31.545048,117.67279,-704.1812,171.32025,5625.781844023254,3349.484316620507,1021.1783757134368,12008.583623774595,-1.3237705790818133,0.5406622976317967,0.39298865,0.35862717,0.000119778575,1.0,-1.3663259966496248,0.3984322277185703,3.4764315e-07,0.030745056,-0.19796753,0.22125244,4.904249322133599,0.2033107937771143
audio-only,speech,angry,strong,Dogs are sitting by the door,1st,22,F,1,2,48000,2,4238,203404.0,-25.16983564797572,18411,-26.784155,108.86322,-617.03406,178.6691,5811.00602460552,3476.5657084926825,647.948515954872,12318.32736959467,-1.3314789609689184,0.3627619033589019,0.4736552,0.3321667,0.0007977946,1.0,-1.3473025190193009,0.1307065121450165,-3.1012092e-07,0.055171996,-0.5237427,0.5863037,12.995414884148596,0.3387377525628268
audio-only,speech,happy,normal,Kids are talking by the door,2nd,06,F,1,2,48000,2,3604,172973.0,-41.1816780366135,14315,-34.312595,138.0458,-793.6614,205.08997,4966.10609322186,3310.7377962140245,0.0,12062.84628763322,-0.6008596685978818,0.7226009903893915,0.39370364,0.334525,0.0,1.0,-1.1408885931099406,0.5282453154574113,-3.3175845e-06,0.008748597,-0.07366943,0.08129883,11.65789769503204,0.2441076794933934
audio-only,song,angry,strong,Kids are talking by the door,1st,,F,1,2,48000,2,4504,216216.0,-25.45817013322667,20627,-27.111847,104.44275,-616.77716,166.61601,4817.78284192079,2496.6591841634795,1337.6763944514812,9816.388367681411,-1.2410774625560703,0.5246042204088347,0.41850796,0.33198258,0.00063463696,1.0,-1.1697632830139972,0.3780948913167574,-1.3744456e-05,0.053358864,-0.38101196,0.44213867,8.39777147244878,0.2517936193676101
audio-only,song,fearful,strong,Kids are talking by the door,2nd,12,F,1,2,48000,2,4137,198598.0,-24.6113644060853,10885,-25.024746,103.02069,-582.56226,164.60571,4360.080527251374,3322.817623824579,0.0,12157.427941885928,0.4117745955389815,1.1820604397049823,0.40151075,0.3763632,0.0,1.0,-1.4875520301381782,0.3789913820428594,6.6504713e-06,0.058813352,-0.5236206,0.5371094,11.674066652100196,0.3484867994848303
audio-only,song,angry,strong,Kids are talking by the door,1st,,F,1,2,48000,2,4638,222622.0,,11520,-23.217209,104.37741,-604.5393,167.02277,4412.45651186023,3280.5902743001125,0.0,12060.213250598908,0.4508049943879531,1.2950538982581514,0.44494876,0.3523196,0.0,1.0,-1.411658831713061,0.2124777458824457,4.8773538e-05,0.06472864,-0.4928589,0.47381592,9.07284204948021,0.3016222080931585
audio-only,song,fearful,strong,Kids are talking by the door,2nd,,F,1,2,48000,2,4204,201802.0,-27.5682496034041,17072,-26.808258,108.51158,-670.1166,176.89471,4371.939375669848,2614.4609672784723,1309.257228301881,10321.25520763166,-0.824387017011226,0.8540651686976207,0.41013694,0.34402263,0.00076249463,1.0,-1.284043440122174,0.3959694184262955,1.122092e-06,0.04185916,-0.30682373,0.2855835,7.460214172728362,0.1184509686590528
audio-only,speech,happy,normal,Kids are talking by the door,2nd,,F,1,2,48000,2,3737,179379.0,,12115,-28.940283,146.58774,-817.6706,221.0621,5527.956323691624,3383.4713556637967,1176.4971760816024,12029.999622504816,-1.2813474771418374,0.2520057279689527,0.48929572,0.3080759,0.002153034,1.0,-1.1564591693538626,0.0866950699741064,-3.507959e-05,0.010531315,-0.078125,0.08279419,9.57414118863938,-0.3801174150835921
audio-only,speech,sad,normal,Kids are talking by the door,2nd,,F,1,2,48000,2,3770,180981.0,-45.15542720181067,8611,-33.812977,158.08841,-849.07336,226.56104,4159.540945934546,3803.110904043938,0.0,13131.698351054963,-1.1054456323937545,0.5668365361609231,0.37418765,0.35881063,0.0,1.0,-1.3369982560066105,0.4242433802967152,-1.5934883e-07,0.005540688,-0.06539917,0.07650757,28.025826975476125,-0.0123131406384346
audio-only,speech,disgust,normal,Kids are talking by the door,1st,,F,1,2,48000,2,3770,180981.0,-42.85075863979223,11395,-31.084473,148.69186,-811.5937,238.84357,4275.8777523211065,3660.2021783564273,0.0,13676.055026591712,-0.9378663688597156,0.4890351053059364,0.36823797,0.33996347,0.0,1.0,-1.1315149100933075,0.4884067516003737,-7.173227e-07,0.0072071627,-0.078704834,0.087249756,11.487598529092471,0.2534450259657716
audio-only,song,calm,strong,Kids are talking by the door,1st,02,F,1,2,48000,2,5639,270670.0,,9811,-34.289692,141.07597,-780.86926,178.86443,3796.941155210964,3795.333447726676,0.0,15687.801503553104,0.3585732029389201,1.2483384259054124,0.30400816,0.3615393,0.0,1.0,-0.9322822346064208,0.8109367775939489,2.010753e-06,0.012188517,-0.073150635,0.09902954,7.90111789993122,0.7522125758417278
audio-only,,calm,strong,Kids are talking by the door,1st,16,F,1,2,48000,2,5072,243444.0,-34.877249081569246,15835,-32.60896,132.7379,-756.9518,185.96896,4286.623162527152,3246.31705917127,0.0,13556.86396813321,-0.7475527487413411,0.6786885554158538,0.33022067,0.3469583,0.0,1.0,-0.9636711194719664,0.6794576580026284,4.486552e-06,0.01805138,-0.087524414,0.08328247,3.800207185768995,-0.08228990108957
audio-only,speech,sad,normal,Kids are talking by the door,2nd,,F,1,2,48000,2,3637,174574.0,,10439,-33.640663,157.84439,-830.5095,231.42401,5011.229693723797,3588.64794260553,0.0,12011.91478945788,-1.4659486454514767,0.1319781841806769,0.42401144,0.33665892,0.0,1.0,-1.2797735116679925,0.262696623891897,-4.7618707e-07,0.00485014,-0.04046631,0.04537964,13.678050134742705,0.4583753450661786
audio-only,speech,disgust,normal,Kids are talking by the door,1st,02,F,1,2,48000,2,3670,176176.0,-45.20354859712824,10143,-32.417904,152.16074,-830.0886,221.62872,3816.700413560136,3508.2524729454617,0.0,12355.14068746494,-0.8720977455902159,0.6340724286179061,0.35794312,0.33633685,0.0,1.0,-1.056505842581074,0.5234040458114011,-3.046977e-07,0.005508877,-0.04626465,0.04788208,13.378864489331749,-0.0745264501386302
audio-only,speech,sad,strong,Dogs are sitting by the door,2nd,,F,1,2,48000,2,3737,179379.0,,15209,-32.400146,144.92406,-812.9071,231.98212,5800.435090598671,3525.104256290342,950.440050558938,12041.819636836692,-1.4524563310713592,0.1272426761571657,0.47486666,0.32898492,0.00017341833,1.0,-1.336860896634519,0.1174904699261795,-1.7472253e-07,0.009449478,-0.06436157,0.07537842,7.156558454761559,0.2227046792694904
audio-only,speech,disgust,strong,Dogs are sitting by the door,1st,02,F,1,2,48000,2,4004,192192.0,,13031,-30.419083,132.99924,-735.6164,211.88849,4856.123489835401,4130.233683723171,0.0,12269.791985226306,-1.3712000676737022,0.4696753949680917,0.4273413,0.36167753,0.0,1.0,-1.459246043956745,0.2286931586060886,-1.4274946e-07,0.012595583,-0.0993042,0.09738159,8.892035258775488,-0.0548256778245178
audio-only,,calm,normal,Dogs are sitting by the door,1st,16,F,1,2,48000,2,5072,243443.0,,16911,-33.29142,136.68811,-773.5065,162.0871,4842.304144958811,3310.6795814089264,0.0,12036.184977977511,-1.2306667532775089,0.4340302807768247,0.36764908,0.35651293,0.0,1.0,-1.2528848202926326,0.4862884411749717,-1.988432e-06,0.015731296,-0.07449341,0.08859253,3.678162612393286,-0.0315886131948634
audio-only,song,neutral,normal,Dogs are sitting by the door,2nd,,F,1,2,48000,2,5038,241842.0,-33.633311206064775,13503,-32.920807,128.07037,-727.0419,191.36234,5263.247810280525,3800.240334969165,0.0,12020.684302474168,-1.4898418262460122,0.4430728106416749,0.40921426,0.36378115,0.0,1.0,-1.4433725387965353,0.3253602866170866,1.7157794e-06,0.02082537,-0.15005493,0.1835022,6.515463478375093,0.3555746497181453
audio-only,song,calm,normal,Dogs are sitting by the door,1st,,F,1,2,48000,2,5539,265865.0,-35.83988525849064,15813,-34.312424,135.26678,-766.0802,178.75122,4777.168584391254,3492.8648918580407,0.0,11546.24531150796,-1.5203537700627785,0.463667489904108,0.3884656,0.3562836,0.0,1.0,-1.3221125279455128,0.3906199331387928,1.7562257e-06,0.016153056,-0.095184326,0.10809326,4.3141138116880935,0.358231904480372
audio-only,song,neutral,normal,Dogs are sitting by the door,2nd,16,F,1,2,48000,2,4571,219419.0,-40.28781345483932,13257,-35.27474,146.4274,-803.9063,193.6708,4989.70453463993,3821.8924926836594,0.0,13041.413557284135,-1.4864472852457618,0.3301806089025818,0.35865194,0.3597272,0.0,1.0,-1.2827211060712562,0.4928018001020895,-7.27268e-07,0.0096753165,-0.052734375,0.05038452,3.950402617642453,0.0019469961794549
audio-only,speech,sad,strong,Dogs are sitting by the door,2nd,,F,1,2,48000,2,3670,176176.0,-45.10757093949286,11757,-35.51098,155.55345,-835.6763,220.85562,4750.722264356866,4056.174950030661,0.0,12279.704427935409,-1.4602670010622192,0.3481021889961744,0.39533386,0.3593227,0.0,1.0,-1.4083334681593038,0.3229713361239242,-6.346858e-07,0.0055734008,-0.059814453,0.059936523,18.8686159838886,-0.09673342710786
audio-only,,disgust,strong,Dogs are sitting by the door,1st,,F,1,2,48000,2,4137,198598.0,-37.2640718791279,16676,-29.328186,138.37593,-769.87616,210.89961,5291.650897395034,3481.0847454774125,0.0,11977.922522060113,-1.442170335474637,0.082204750343057,0.45952728,0.3380694,0.0,1.0,-1.3597764553193965,0.1272984368563364,-9.803832e-08,0.013713691,-0.11303711,0.11755371,7.214227721384415,0.2283214193041219
audio-only,speech,happy,strong,Dogs are sitting by the door,2nd,12,F,1,2,48000,2,3971,190590.0,-27.3864379856296,19295,-26.72641,114.27514,-640.32654,178.9573,6057.13942643859,3839.168322210782,0.0,12997.65518514306,-1.5302856089023469,0.2186893668522076,0.4368264,0.34673256,0.0,1.0,-1.3566151556759334,0.2361498169505021,1.4182291e-05,0.04274848,-0.38305664,0.4458313,9.93542219702714,0.1145877721891112
audio-only,song,angry,normal,Dogs are sitting by the door,1st,12,F,1,2,48000,2,4538,217817.0,,18417,-31.154692,124.51176,-691.92737,180.01355,5410.432425285056,3407.683506453639,703.4469258293794,11509.82655174667,-1.5477348007678298,0.2327457281095342,0.4444775,0.35183683,0.00010659316,1.0,-1.4389600468553934,0.1405935349136076,-4.506806e-06,0.02531516,-0.20223999,0.2552185,12.797871645505468,0.2974211001737765
audio-only,song,fearful,normal,Dogs are sitting by the door,2nd,,F,1,2,48000,2,4504,216216.0,-41.21210149902416,17224,-35.068596,140.14258,-790.8064,176.49432,4771.408094183042,3120.5970627472184,0.0,11987.976118800249,-0.949842223015195,0.5901008275770261,0.39739224,0.35791668,0.0,1.0,-1.358049999265933,0.3702265468897895,-1.406217e-06,0.00869884,-0.050354004,0.065460205,5.975465224643971,0.1180989240403222
audio-only,song,angry,normal,Dogs are sitting by the door,1st,,F,1,2,48000,2,4404,211411.0,,19057,-34.05069,133.14471,-741.8707,185.38611,4817.574947455589,3177.888277916346,0.0,12000.00012293458,-1.1589771548465175,0.5006704132199105,0.3712665,0.33326143,0.0,1.0,-0.9717968458451516,0.6206595348186166,-1.3121587e-07,0.015027995,-0.08633423,0.113861084,5.779963242340502,0.2694107304294896
audio-only,song,fearful,normal,Dogs are sitting by the door,2nd,12,F,1,2,48000,2,4304,206606.0,,12953,-28.12805,120.632744,-692.17413,178.75601,4452.4196471565,3618.98069722558,251.1614022367501,12173.91097976048,-0.1726274040490656,1.128144128892644,0.49222556,0.37746644,0.00014477177,1.0,-1.6205039712349938,-0.0125282521118068,-6.286217e-05,0.02471005,-0.17770386,0.16494751,7.482893450295316,-0.0225424173305046
audio-only,speech,happy,strong,Dogs are sitting by the door,2nd,06,F,1,2,48000,2,3604,172972.0,,15801,-25.614946,108.94298,-624.9911,155.53433,4453.451646540852,2174.9687430921017,1836.3353642223915,11720.171161297569,1.691106527815008,1.3552909693744009,0.38662255,0.340288,0.00027162695,1.0,-1.0285177764354247,0.6191787145208617,3.3061533e-05,0.04865673,-0.31658936,0.3545227,9.994649576014266,0.0904696467249549
audio-only,speech,disgust,normal,Dogs are sitting by the door,1st,,F,1,2,48000,2,3804,182582.0,-41.3969146337224,13149,-31.682337,145.8726,-796.86816,210.56131,6250.720161578117,3852.032907574573,1099.802027486047,13468.52458544619,-1.5810139667097591,0.0293390448181908,0.51290154,0.3183314,0.008606281,1.0,-1.3273965408960613,-0.012226883724014,2.846471e-07,0.008534744,-0.10092163,0.09030151,15.546490904681118,0.2829528609455191
audio-only,song,calm,strong,Dogs are sitting by the door,1st,,F,1,2,48000,2,6373,305906.0,,17155,-32.195225,119.355316,-721.0584,157.98068,3580.683249346902,2784.633281802229,0.0,12207.504955694205,1.2720869497553524,1.3544874701816585,0.2716865,0.34013057,0.0,1.0,-0.3595759711343587,1.053863390125575,1.108348e-06,0.021804528,-0.097351074,0.10620117,2.542245936416204,0.252734356313478
audio-only,speech,sad,normal,Dogs are sitting by the door,2nd,22,F,1,2,48000,2,3704,177778.0,-43.38193921018159,13129,-32.561337,148.68855,-838.8345,180.11179,5739.333835387897,3159.2395167365285,1136.200942671449,12021.016792465589,-1.066021864690181,0.476545518405449,0.46760955,0.3272334,0.0012445395,1.0,-1.3394045087366808,0.1819882262623365,-4.3773596e-07,0.006794011,-0.06262207,0.06512451,14.984925527191615,-0.1777453584458954
